上游ROADID,当前ROADID,下游ROADID
34448.0,34449.0,34448.0
34448.0,34449.0,22867.0
32040.0,5822.0,5820.0
32040.0,5822.0,5818.0
32040.0,5822.0,5823.0
32040.0,5822.0,5573.0
5823.0,5822.0,5820.0
5823.0,5822.0,5818.0
5823.0,5822.0,5823.0
5823.0,5822.0,5573.0
32040.0,32041.0,32040.0
32040.0,32041.0,14285.0
32040.0,32041.0,9507.0
5823.0,32041.0,32040.0
5823.0,32041.0,14285.0
5823.0,32041.0,9507.0
31970.0,22264.0,19632.0
31970.0,22264.0,22265.0
31970.0,22264.0,4505.0
22265.0,22264.0,19632.0
22265.0,22264.0,22265.0
22265.0,22264.0,4505.0
22223.0,22264.0,19632.0
22223.0,22264.0,22265.0
22223.0,22264.0,4505.0
31970.0,22222.0,22224.0
31970.0,22222.0,22223.0
22265.0,22222.0,22224.0
22265.0,22222.0,22223.0
22223.0,22222.0,22224.0
22223.0,22222.0,22223.0
31970.0,31971.0,31970.0
31970.0,31971.0,31966.0
31970.0,31971.0,19635.0
22265.0,31971.0,31970.0
22265.0,31971.0,31966.0
22265.0,31971.0,19635.0
22223.0,31971.0,31970.0
22223.0,31971.0,31966.0
22223.0,31971.0,19635.0
31968.0,19634.0,31970.0
31968.0,19634.0,31966.0
31968.0,19634.0,19635.0
7044.0,19634.0,31970.0
7044.0,19634.0,31966.0
7044.0,19634.0,19635.0
19635.0,19634.0,31970.0
19635.0,19634.0,31966.0
19635.0,19634.0,19635.0
31968.0,31969.0,31968.0
31968.0,31969.0,31967.0
31968.0,31969.0,2655.0
7044.0,31969.0,31968.0
7044.0,31969.0,31967.0
7044.0,31969.0,2655.0
19635.0,31969.0,31968.0
19635.0,31969.0,31967.0
19635.0,31969.0,2655.0
31968.0,7045.0,7044.0
31968.0,7045.0,8401.0
31968.0,7045.0,8398.0
7044.0,7045.0,7044.0
7044.0,7045.0,8401.0
7044.0,7045.0,8398.0
19635.0,7045.0,7044.0
19635.0,7045.0,8401.0
19635.0,7045.0,8398.0
31966.0,31968.0,19634.0
31966.0,31968.0,31969.0
31966.0,31968.0,7045.0
2654.0,31968.0,19634.0
2654.0,31968.0,31969.0
2654.0,31968.0,7045.0
31969.0,31968.0,19634.0
31969.0,31968.0,31969.0
31969.0,31968.0,7045.0
31966.0,31967.0,31970.0
31966.0,31967.0,31966.0
31966.0,31967.0,19635.0
2654.0,31967.0,31970.0
2654.0,31967.0,31966.0
2654.0,31967.0,19635.0
31969.0,31967.0,31970.0
31969.0,31967.0,31966.0
31969.0,31967.0,19635.0
31966.0,2655.0,2654.0
31966.0,2655.0,2652.0
31966.0,2655.0,2650.0
31966.0,2655.0,25255.0
2654.0,2655.0,2654.0
2654.0,2655.0,2652.0
2654.0,2655.0,2650.0
2654.0,2655.0,25255.0
31969.0,2655.0,2654.0
31969.0,2655.0,2652.0
31969.0,2655.0,2650.0
31969.0,2655.0,25255.0
130.0,131.0,130.0
130.0,131.0,21108.0
130.0,131.0,2758.0
10406.0,131.0,130.0
10406.0,131.0,21108.0
10406.0,131.0,2758.0
130.0,10402.0,3254.0
10406.0,10402.0,3254.0
31416.0,20066.0,21094.0
31416.0,20066.0,14564.0
31416.0,20066.0,20067.0
20067.0,20066.0,21094.0
20067.0,20066.0,14564.0
20067.0,20066.0,20067.0
31416.0,31417.0,31416.0
31416.0,31417.0,21076.0
31416.0,31417.0,21092.0
20067.0,31417.0,31416.0
20067.0,31417.0,21076.0
20067.0,31417.0,21092.0
31414.0,31415.0,31414.0
31414.0,31415.0,12780.0
31414.0,31415.0,21105.0
