NO,FROMNODENO,TONODENO,ID,DXD,FLAG,TJL,FS,TRAFFIC,flag
15296,7670,1944,17224.0,0,0,2,83.7,"B,C,W",1
14403,3932,2763,16020.0,0,0,5,37.95,"B,C,W",1
14360,3003,7498,15985.0,0,0,3,55.5,"B,C,W",1
14359,1696,3002,15984.0,0,0,5,31.8,"B,C,W",1
14358,3003,1696,15983.0,0,0,5,36.0,"B,C,W",1
14321,7275,4298,65.0,0,0,5,36.7,"B,C,W",1
14093,7272,4875,15708.0,0,0,5,42.4,"B,C,W",1
14092,2208,10126,15707.0,0,0,4,54.0,"B,C,W",1
14008,9820,4334,15621.0,0,0,4,46.1,"B,C,W",1
13527,284,286,15149.0,0,1,1,81.8,"B,C,W",0
13526,7039,286,15148.0,0,0,4,46.7,"B,C,W",0
13525,1445,1864,15147.0,0,0,4,48.6,"B,C,W",1
13524,2849,9849,15146.0,0,0,5,43.5,"B,C,W",0
13445,9819,9820,15058.0,0,0,4,46.1,"B,C,W",0
13425,2530,4300,15070.0,0,0,5,44.7,"B,C,W",1
13424,7274,2790,15069.0,0,0,5,41.5,"B,C,W",1
13421,9817,9818,15036.0,0,0,5,35.7,"B,C,W",1
13420,9816,9817,15035.0,0,0,5,35.7,"B,C,W",1
13419,7257,9816,10481.0,0,0,5,38.6,"B,C,W",1
13418,9815,7255,10487.0,0,0,4,54.5,"B,C,W",0
13411,1314,8296,15028.0,0,0,4,52.6,"B,C,W",1
13410,5114,1313,15027.0,0,0,5,42.6,"B,C,W",1
13409,1281,9813,15026.0,0,1,1,82.8,"B,C,W",1
13408,9813,6014,15025.0,0,1,1,82.8,"B,C,W",1
13329,9773,9774,14941.0,0,0,5,35.0,"B,C,W",0
13328,9772,9773,14940.0,0,0,5,35.0,"B,C,W",0
13327,9337,9772,14939.0,0,0,5,35.0,"B,C,W",0
13214,3611,9713,14830.0,0,0,5,40.8,"B,C,W",1
12776,1107,1109,14386.0,0,0,5,32.9,"B,C,W",0
12775,1108,2453,14385.0,0,0,5,41.0,"B,C,W",1
12774,1109,9432,14384.0,0,0,5,30.0,"B,C,W",1
12773,2453,1109,14383.0,0,0,5,31.3,"B,C,W",1
12626,8231,3802,14237.0,0,0,4,50.4,"B,C,W",0
12625,9338,3802,14236.0,0,0,5,35.0,"B,C,W",0
12624,9337,9338,14235.0,0,0,5,35.0,"B,C,W",0
12623,8231,9337,14234.0,0,0,5,35.0,"B,C,W",0
12437,9197,5957,14049.0,0,0,4,45.9,"B,C,W",0
12436,9197,9196,14048.0,0,0,5,35.0,"B,C,W",0
12435,9196,3803,14047.0,0,0,4,51.2,"B,C,W",1
12434,3801,3803,14046.0,0,0,3,64.1,"B,C,W",0
12433,9195,9197,14045.0,0,0,5,42.0,"B,C,W",0
12432,5957,3806,14044.0,0,0,4,47.25,"B,C,W",1
12431,3806,9196,14043.0,0,0,5,39.3,"B,C,W",1
12430,3823,4131,14042.0,0,0,3,62.8,"B,C,W",1
12429,7664,3823,14041.0,0,3,4,50.1,"B,C,W",1
12427,9193,9195,14039.0,0,0,5,42.0,"B,C,W",0
12423,9190,9191,14035.0,0,0,5,37.3,"B,C,W",0
12422,3809,9190,14034.0,0,0,5,39.9,"B,C,W",0
12420,8406,7684,14032.0,0,0,5,41.5,"B,C,W",1
12419,7760,7684,14031.0,0,0,5,44.0,"B,C,W",0
12407,9179,9180,14019.0,0,0,5,41.4,"B,C,W",0
12406,7758,9180,14018.0,0,0,4,47.0,"B,C,W",0
12405,9180,7759,14017.0,0,0,5,44.85,"B,C,W",0
12404,8229,7774,14016.0,0,0,4,47.2,"B,C,W",1
12403,9179,8229,14015.0,0,0,5,38.7,"B,C,W",0
12401,7758,9177,14013.0,0,0,4,47.0,"B,C,W",0
12399,7758,7764,11947.0,0,0,5,32.1,"B,C,W",0
12398,9169,3813,14011.0,0,0,5,37.3,"B,C,W",0
12397,9168,7660,14009.0,0,0,5,37.0,"B,C,W",0
12396,7660,9174,14008.0,0,0,5,43.9,"B,C,W",1
12386,9168,9169,13996.0,0,0,5,35.8,"B,C,W",0
11947,8231,8857,13533.0,0,0,5,44.2,"B,C,W",0
11824,8783,8780,13388.0,0,0,4,45.3,"B,C,W",1
11812,8784,7659,13377.0,0,0,4,46.3,"B,C,W",0
11811,8782,7661,13376.0,0,0,5,43.3,"B,C,W",0
11809,7671,8781,13374.0,0,0,4,45.3,"B,C,W",1
11808,8783,7671,13373.0,0,0,4,45.3,"B,C,W",1
11807,7774,8783,13372.0,0,0,4,45.1,"B,C,W",1
11582,3931,8706,13158.0,0,0,4,47.8,"B,C,W",1
11581,8560,759,13157.0,0,0,5,35.4,"B,C,W",1
11580,8705,1143,13156.0,0,0,5,38.3,"B,C,W",1
11579,8705,5115,13155.0,0,0,4,48.3,"B,C,W",1
11578,5112,8705,13154.0,0,0,4,45.4,"B,C,W",1
11555,8307,8653,9604.0,0,0,4,54.6,"B,C,W",0
11552,1865,3613,13120.0,0,0,5,41.1,"B,C,W",0
11469,8653,7057,11780.0,0,0,4,53.1,"B,C,W",0
11320,2189,5111,12843.0,0,0,5,40.8,"B,C,W",1
11319,5111,8560,12842.0,0,0,5,41.6,"B,C,W",1
11318,8560,2172,12841.0,0,0,5,38.0,"B,C,W",1
11317,1143,5110,12840.0,0,0,5,35.4,"B,C,W",1
11136,1506,1693,12627.0,0,0,5,38.7,"B,C,W",1
11056,2119,2401,12510.0,0,0,5,38.3,"B,C,W",1
11049,4136,8406,12499.0,0,0,5,39.5,"B,C,W",1
11042,4135,7762,11646.0,0,0,5,37.6,"B,C,W",1
11041,7683,8406,11648.0,0,0,5,37.4,"B,C,W",0
11035,7458,7462,11022.0,0,0,5,39.7,"B,C,W",1
11034,2224,7461,11025.0,0,0,5,31.25,"B,C,W",1
11033,7465,2223,11028.0,0,0,4,54.2,"B,C,W",1
11030,7532,7525,11138.0,0,0,5,31.25,"B,C,W",1
10755,2975,2976,12183.0,0,0,4,48.7,"B,C,W",1
10743,2720,834,12161.0,0,0,5,40.95,"B,C,W",0
10742,1112,834,12160.0,0,0,4,49.15,"B,C,W",0
10741,1107,1111,12159.0,0,0,4,53.8,"B,C,W",0
10740,5733,252,12158.0,0,0,5,43.7,"B,C,W",1
10739,2298,1082,12157.0,0,0,4,46.1,"B,C,W",1
