NO,FROMNODENO,TONODENO,ID,DXD,FLAG,TJL,FS,TRAFFIC
13527,284,286,15149,0,1,1,81.8,"B,C,W"
13526,7039,286,15148,0,0,4,46.7,"B,C,W"
13524,2849,9849,15146,0,0,5,43.5,"B,C,W"
13445,9819,9820,15058,0,0,4,46.1,"B,C,W"
13418,9815,7255,10487,0,0,4,54.5,"B,C,W"
13329,9773,9774,14941,0,0,5,35.0,"B,C,W"
13328,9772,9773,14940,0,0,5,35.0,"B,C,W"
13327,9337,9772,14939,0,0,5,35.0,"B,C,W"
12776,1107,1109,14386,0,0,5,32.9,"B,C,W"
12626,8231,3802,14237,0,0,4,50.4,"B,C,W"
12625,9338,3802,14236,0,0,5,35.0,"B,C,W"
12624,9337,9338,14235,0,0,5,35.0,"B,C,W"
12623,8231,9337,14234,0,0,5,35.0,"B,C,W"
12437,9197,5957,14049,0,0,4,45.9,"B,C,W"
12436,9197,9196,14048,0,0,5,35.0,"B,C,W"
12434,3801,3803,14046,0,0,3,64.1,"B,C,W"
12433,9195,9197,14045,0,0,5,42.0,"B,C,W"
12427,9193,9195,14039,0,0,5,42.0,"B,C,W"
12423,9190,9191,14035,0,0,5,37.3,"B,C,W"
12422,3809,9190,14034,0,0,5,39.9,"B,C,W"
12419,7760,7684,14031,0,0,5,44.0,"B,C,W"
12407,9179,9180,14019,0,0,5,41.4,"B,C,W"
12406,7758,9180,14018,0,0,4,47.0,"B,C,W"
12405,9180,7759,14017,0,0,5,44.85,"B,C,W"
12403,9179,8229,14015,0,0,5,38.7,"B,C,W"
12401,7758,9177,14013,0,0,4,47.0,"B,C,W"
12399,7758,7764,11947,0,0,5,32.1,"B,C,W"
12398,9169,3813,14011,0,0,5,37.3,"B,C,W"
12397,9168,7660,14009,0,0,5,37.0,"B,C,W"
12386,9168,9169,13996,0,0,5,35.8,"B,C,W"
11947,8231,8857,13533,0,0,5,44.2,"B,C,W"
11812,8784,7659,13377,0,0,4,46.3,"B,C,W"
11811,8782,7661,13376,0,0,5,43.3,"B,C,W"
11555,8307,8653,9604,0,0,4,54.6,"B,C,W"
11552,1865,3613,13120,0,0,5,41.1,"B,C,W"
11469,8653,7057,11780,0,0,4,53.1,"B,C,W"
11041,7683,8406,11648,0,0,5,37.4,"B,C,W"
10743,2720,834,12161,0,0,5,40.95,"B,C,W"
10742,1112,834,12160,0,0,4,49.15,"B,C,W"
10741,1107,1111,12159,0,0,4,53.8,"B,C,W"
10737,8307,1350,12155,0,0,4,51.4,"B,C,W"
10547,8232,3800,11957,0,0,4,45.0,"B,C,W"
10546,8231,8232,11956,0,0,5,44.6,"B,C,W"
10543,5837,3809,11953,0,0,3,58.1,"B,C,W"
9842,7057,7038,13034,0,0,4,53.4,"B,C,W"
9730,7760,5838,11667,0,0,5,37.9,"B,C,W"
9719,7764,7755,11656,0,0,5,42.3,"B,C,W"
9718,7760,7764,11655,0,0,5,38.6,"B,C,W"
9716,7759,7761,11653,0,0,5,42.45,"B,C,W"
9713,7759,7760,11649,0,0,5,36.1,"B,C,W"
9712,7757,7758,11647,0,0,5,31.0,"B,C,W"
9242,7534,2726,11170,0,0,5,38.0,"B,C,W"
9241,7523,7534,11169,0,0,5,33.3,"B,C,W"
9237,7522,1701,11165,0,0,5,42.7,"B,C,W"
9232,4521,5947,11160,0,0,3,55.05,"B,C,W"
9228,835,56,11156,0,0,5,40.3,"B,C,W"
9225,7529,7528,11153,0,0,5,30.0,"B,C,W"
9224,7528,835,11152,0,0,5,38.0,"B,C,W"
9223,7527,296,11151,0,0,4,54.1,"B,C,W"
9217,7523,2725,11145,0,0,5,30.0,"B,C,W"
9216,7512,7523,11144,0,0,5,32.35,"B,C,W"
9215,7522,7520,11143,0,0,4,45.8,"B,C,W"
9214,7520,7521,11141,0,0,5,38.0,"B,C,W"
9139,1598,1600,11063,0,0,5,41.25,"B,C,W"
9128,2416,2418,11052,0,0,5,35.0,"B,C,W"
8645,2520,2522,10544,0,0,5,39.6,"B,C,W"
8643,2521,119,10542,0,0,5,35.45,"B,C,W"
8642,1600,2936,10541,0,0,4,46.1,"B,C,W"
8637,7265,7269,10536,0,0,5,36.7,"B,C,W"
8636,7268,2975,10535,0,0,4,54.0,"B,C,W"
8635,2521,7270,10534,0,0,5,34.5,"B,C,W"
8631,7269,1206,10530,0,0,5,35.0,"B,C,W"
8630,7265,2757,10529,0,0,5,44.2,"B,C,W"
8629,7265,7267,10528,0,0,5,44.7,"B,C,W"
8626,7267,7268,10525,0,0,5,44.1,"B,C,W"
8625,7265,7266,10524,0,0,5,34.0,"B,C,W"
8323,5961,7128,9018,0,0,5,31.9,"B,C,W"
8241,2520,926,8908,0,0,5,44.0,"B,C,W"
7198,5193,5189,6481,0,0,4,45.4,"B,C,W"
5246,54,4521,9994,0,0,3,57.2,"B,C,W"
5207,4475,3801,7706,0,0,3,58.1,"B,C,W"
4982,2264,2479,5249,0,0,5,42.4,"B,C,W"
4422,3830,3831,4668,0,0,3,57.8,"B,C,W"
4403,3809,3810,7557,0,0,3,60.0,"B,C,W"
4396,3802,2853,4642,0,0,4,48.8,"B,C,W"
4395,3800,3801,9893,0,0,3,55.7,"B,C,W"
4180,3613,3614,4413,0,0,5,35.4,"B,C,W"
3548,3212,3236,9829,0,0,4,53.3,"B,C,W"
3261,470,2264,3435,0,0,3,58.3,"B,C,W"
3157,2926,2762,3313,0,1,1,89.6,"B,C,W"
2528,285,1446,2646,0,1,1,81.3,"B,C,W"
2323,2520,2521,9734,0,0,5,36.0,"B,C,W"
2164,2416,2419,9716,0,0,5,30.35,"B,C,W"
2162,2416,2417,2252,0,0,5,39.85,"B,C,W"
1935,2264,1479,2017,0,0,5,37.3,"B,C,W"
1522,1918,1920,9662,0,0,5,36.45,"B,C,W"
1521,1918,118,1590,0,0,5,39.15,"B,C,W"
1520,1918,1919,1589,0,0,5,38.25,"B,C,W"
1381,1018,903,1444,0,0,5,32.8,"B,C,W"
1380,1018,916,1443,0,0,5,30.4,"B,C,W"
1180,1614,1615,1231,0,0,4,46.2,"B,C,W"
1165,1600,1601,9632,0,0,5,40.9,"B,C,W"
1164,1598,923,1215,0,0,5,39.5,"B,C,W"
1163,1598,1599,1214,0,0,5,44.6,"B,C,W"
737,1111,1112,9590,0,0,4,53.3,"B,C,W"
735,1107,1108,765,0,0,4,45.6,"B,C,W"
665,917,1019,690,0,0,5,34.05,"B,C,W"
664,917,1018,689,0,0,5,30.0,"B,C,W"
585,916,917,609,0,0,5,34.1,"B,C,W"
584,916,251,608,0,0,5,37.5,"B,C,W"
531,834,835,9575,0,0,5,39.15,"B,C,W"
174,284,285,183,0,1,1,77.7,"B,C,W"
32,54,55,32,0,0,4,51.45,"B,C,W"
