NO,FROMNODENO,TONODENO,ID,DXD,FLAG,TJL,FS,TRAFFIC
15296,7670,1944,17224,0,0,2,83.7,"B,C,W"
15295,10731,7670,17223,1,0,4,49.3,"B,C,W"
14403,3932,2763,16020,0,0,5,37.95,"B,C,W"
14360,3003,7498,15985,0,0,3,55.5,"B,C,W"
14359,1696,3002,15984,0,0,5,31.8,"B,C,W"
14358,3003,1696,15983,0,0,5,36,"B,C,W"
14347,10255,10253,15960,1,0,5,40,"B,C,W"
14346,10256,10254,15959,1,0,5,38,"B,C,W"
14345,10259,10257,15958,1,0,5,35,"B,C,W"
14344,10260,10258,15957,1,0,5,36,"B,C,W"
14343,10263,10253,15956,1,0,5,35,"B,C,W"
14342,10260,10264,15955,1,0,5,43,"B,C,W"
14341,10265,10262,15954,1,0,5,43,"B,C,W"
14340,10261,10257,15953,1,0,5,40,"B,C,W"
14339,10254,10262,15951,1,0,5,38,"B,C,W"
14338,10263,10255,15949,1,0,5,37,"B,C,W"
14337,10258,10264,15947,1,0,5,38,"B,C,W"
14336,10261,10259,15945,1,0,5,40,"B,C,W"
14335,10264,2173,15948,1,0,5,40,"B,C,W"
14334,10255,10258,15944,1,0,5,40,"B,C,W"
14333,2172,10263,15950,1,0,5,40,"B,C,W"
14332,10262,2172,15952,1,0,5,40,"B,C,W"
14331,10259,10254,15943,1,0,5,39,"B,C,W"
14330,2173,10261,15946,1,0,5,36,"B,C,W"
14329,2189,10260,15942,1,0,5,44,"B,C,W"
14328,10258,10259,15941,1,0,5,41,"B,C,W"
14327,10257,2188,15940,1,0,5,35,"B,C,W"
14326,2188,10256,15939,1,0,5,40,"B,C,W"
14325,10254,10255,15938,1,0,5,39,"B,C,W"
14324,10253,2189,15937,1,0,5,40,"B,C,W"
14323,7275,1952,1379,1,0,5,32.7,"B,C,W"
14322,758,7275,502,1,0,5,40.6,"B,C,W"
14321,7275,4298,65,0,0,5,36.7,"B,C,W"
14093,7272,4875,15708,0,0,5,42.4,"B,C,W"
14092,2208,10126,15707,0,0,4,54,"B,C,W"
14008,9820,4334,15621,0,0,4,46.1,"B,C,W"
14007,1280,9819,15623,1,0,5,42.2,"B,C,W"
14006,9820,1280,15622,1,0,5,42.2,"B,C,W"
13527,284,286,15149,0,1,1,81.8,"B,C,W"
13526,7039,286,15148,0,0,4,46.7,"B,C,W"
13525,1445,1864,15147,0,0,4,48.6,"B,C,W"
13524,2849,9849,15146,0,0,5,43.5,"B,C,W"
13445,9819,9820,15058,0,0,4,46.1,"B,C,W"
13433,9800,9807,15048,1,0,5,42.4,"B,C,W"
13432,4300,9800,15047,1,0,5,42.4,"B,C,W"
13431,2790,4300,15046,1,0,5,36.35,"B,C,W"
13430,2896,2790,15045,1,0,5,38.4,"B,C,W"
13429,7274,2896,15044,1,0,5,43.9,"B,C,W"
13428,2530,7274,15043,1,0,5,37.9,"B,C,W"
13427,9806,2530,15042,1,0,5,37.8,"B,C,W"
13425,2530,4300,15070,0,0,5,44.7,"B,C,W"
13424,7274,2790,15069,0,0,5,41.5,"B,C,W"
13421,9817,9818,15036,0,0,5,35.7,"B,C,W"
13420,9816,9817,15035,0,0,5,35.7,"B,C,W"
13419,7257,9816,10481,0,0,5,38.6,"B,C,W"
13418,9815,7255,10487,0,0,4,54.5,"B,C,W"
13411,1314,8296,15028,0,0,4,52.6,"B,C,W"
13410,5114,1313,15027,0,0,5,42.6,"B,C,W"
13409,1281,9813,15026,0,1,1,82.8,"B,C,W"
