FROMNODENO,TONODENO,ID,FLAG,TJL,FS,TRAFFIC
7670,1944,34448.0,0,2,83.7,"B,C,W"
3932,2763,32040.0,0,5,37.95,"B,C,W"
3003,7498,31970.0,0,3,55.5,"B,C,W"
1696,3002,31968.0,0,5,31.8,"B,C,W"
3003,1696,31966.0,0,5,36.0,"B,C,W"
7275,4298,130.0,0,5,36.7,"B,C,W"
7272,4875,31416.0,0,5,42.4,"B,C,W"
2208,10126,31414.0,0,4,54.0,"B,C,W"
9820,4334,31242.0,0,4,46.1,"B,C,W"
284,286,30298.0,1,1,81.8,"B,C,W"
7039,286,30296.0,0,4,46.7,"B,C,W"
1445,1864,30294.0,0,4,48.6,"B,C,W"
2849,9849,30292.0,0,5,43.5,"B,C,W"
9819,9820,30116.0,0,4,46.1,"B,C,W"
2530,4300,30140.0,0,5,44.7,"B,C,W"
7274,2790,30138.0,0,5,41.5,"B,C,W"
9817,9818,30072.0,0,5,35.7,"B,C,W"
9816,9817,30070.0,0,5,35.7,"B,C,W"
7257,9816,20962.0,0,5,38.6,"B,C,W"
9815,7255,20974.0,0,4,54.5,"B,C,W"
1314,8296,30056.0,0,4,52.6,"B,C,W"
5114,1313,30054.0,0,5,42.6,"B,C,W"
1281,9813,30052.0,1,1,82.8,"B,C,W"
9813,6014,30050.0,1,1,82.8,"B,C,W"
9773,9774,29882.0,0,5,35.0,"B,C,W"
9772,9773,29880.0,0,5,35.0,"B,C,W"
9337,9772,29878.0,0,5,35.0,"B,C,W"
3611,9713,29660.0,0,5,40.8,"B,C,W"
1107,1109,28772.0,0,5,32.9,"B,C,W"
1108,2453,28770.0,0,5,41.0,"B,C,W"
1109,9432,28768.0,0,5,30.0,"B,C,W"
2453,1109,28766.0,0,5,31.3,"B,C,W"
8231,3802,28474.0,0,4,50.4,"B,C,W"
9338,3802,28472.0,0,5,35.0,"B,C,W"
9337,9338,28470.0,0,5,35.0,"B,C,W"
8231,9337,28468.0,0,5,35.0,"B,C,W"
9197,5957,28098.0,0,4,45.9,"B,C,W"
