ROADID,total_congestion_cost
19438,130.57999999999998
19439,133.64
3699,162.26
4951,162.26
4950,162.26
4781,162.26
6407,162.26
3770,162.26
6406,162.26
3701,162.26
4822,162.26
14589,162.26
14600,162.26
4948,162.26
1229,162.26
6405,162.26
1533,162.26
4823,162.26
28766,162.26
209,162.26
1532,162.26
14588,162.26
211,162.26
4780,162.26
3700,162.26
4606,162.26
1228,162.26
208,162.26
3771,162.26
6404,162.26
4607,162.26
28767,162.26
210,162.26
2812,162.26
4949,162.26
1230,162.26
14590,162.28
1248,162.45
1250,162.46
19404,162.51999999999995
5506,162.62
3698,162.72000000000003
3702,162.8
2813,162.82999999999996
28773,162.84
6056,162.88
2257,162.95
1249,163.11
24317,163.26999999999995
1231,163.29
6383,163.38
3703,163.57
28771,165.26
20321,165.91000000000003
1531,166.15
28772,171.41000000000003
24318,171.44
1530,173.27
28770,176.21
1003,176.32
6381,176.32
25682,176.32
1004,176.32
6951,176.32
21108,176.32
1599,176.32
6380,176.32
26315,176.32
130,176.44
1002,176.48
6864,177.32
25680,177.64
10402,177.77999999999997
1598,177.86
21109,178.13
24313,179.27
24312,185.33
