ROADID,probability
0,0.04
1,0.0
2,0.0
4,0.29
5,0.0
6,0.02
8,0.0
9,0.02
10,0.04
12,0.0
14,0.02
16,0.0
18,0.0
19,0.0
20,0.02
22,0.0
23,0.0
24,0.0
25,0.0
28,0.0
30,0.77
31,0.02
32,0.0
34,0.0
35,0.12
38,0.25
40,0.0
41,0.0
42,0.69
43,0.29
44,0.0
46,0.0
48,0.0
50,0.0
51,0.0
54,0.17
55,0.08
60,0.0
64,0.0
65,0.0
66,0.02
68,0.04
69,0.0
72,0.0
74,0.23
76,0.1
77,0.12
78,0.12
79,0.0
84,0.23
85,0.06
86,0.0
87,0.1
88,0.23
89,0.15
90,0.56
91,0.0
92,0.29
93,0.23
96,0.17
97,0.0
98,0.23
99,0.04
100,0.33
101,0.08
102,0.0
104,0.0
106,0.02
108,0.0
109,0.04
110,0.0
111,0.06
112,0.08
114,0.73
115,0.54
116,0.31
117,0.0
118,0.0
120,0.02
122,0.04
124,0.02
125,0.02
126,0.0
127,0.1
128,0.0
130,0.06
131,0.02
132,0.15
134,0.0
135,0.0
136,0.0
138,0.02
139,0.0
140,0.0
142,0.29
143,0.1
144,0.0
146,0.0
147,0.19
148,0.12
149,0.46
150,0.33
151,0.15
152,0.0
153,0.0
154,0.02
155,0.02
158,0.0
159,0.0
160,0.0
161,0.0
162,0.02
163,0.02
164,0.0
165,0.0
168,0.0
170,0.0
172,0.02
174,0.04
176,0.0
178,0.02
179,0.19
180,0.23
185,0.0
186,0.0
187,0.08
188,0.0
190,0.0
191,0.0
192,0.0
194,0.02
195,0.17
200,0.21
201,0.23
202,0.06
203,0.02
204,0.08
206,0.0
208,0.44
209,0.25
210,0.58
211,0.33
212,0.21
213,0.06
214,0.0
215,0.0
220,0.0
221,0.06
222,0.04
223,0.06
224,0.0
225,0.0
226,0.0
228,0.33
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.08
238,0.08
239,0.04
240,0.6
241,0.56
242,0.19
243,0.19
244,0.06
245,0.46
246,0.0
248,0.0
249,0.0
250,0.29
251,0.12
252,0.33
253,0.79
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
260,0.04
262,0.19
263,0.27
264,0.44
265,0.31
266,0.04
267,0.0
268,0.25
269,0.83
270,0.08
271,0.33
272,0.02
274,0.0
276,0.0
278,0.02
280,0.02
281,0.17
282,0.0
286,0.0
287,0.0
288,0.42
289,0.38
292,0.04
293,0.15
294,0.12
295,0.0
300,0.0
301,0.06
302,0.27
304,0.02
306,0.0
308,0.0
309,0.0
312,0.54
314,0.17
315,0.06
316,0.02
318,0.25
319,0.4
324,0.17
325,0.04
326,0.06
327,0.0
328,0.0
329,0.0
330,0.0
332,0.0
334,0.02
335,0.42
336,0.06
337,0.21
338,0.48
339,0.04
340,0.12
342,0.62
344,0.08
345,0.17
346,0.1
347,0.12
348,0.0
350,0.0
351,0.04
352,0.0
354,0.0
355,0.46
356,0.38
358,0.02
359,0.0
360,0.0
361,0.0
366,0.0
367,0.0
370,0.0
372,0.0
373,0.0
374,0.0
376,0.02
378,0.02
379,0.0
380,0.0
381,0.0
382,0.62
383,0.04
386,0.08
388,0.4
394,0.08
395,0.08
398,0.0
399,0.25
400,0.02
401,0.0
402,0.44
403,0.12
406,0.17
407,0.1
408,0.31
410,0.0
412,0.17
413,0.1
414,0.0
