ROADID,total_congestion_cost
22837,0.06
23303,0.08
21098,0.1
22860,0.1
4844,0.12
9970,0.13999999999999999
9984,0.14
4845,0.16
23304,0.16
19208,0.18
21044,0.2
19988,0.26
576,0.27
19264,0.27999999999999997
29662,0.28
23339,0.3
19265,0.31999999999999995
20991,0.33999999999999997
12762,0.34
9301,0.36
31914,0.38
23305,0.38
20065,0.4
26312,0.4
23895,0.42
23560,0.42
22304,0.42000000000000004
22288,0.43000000000000005
2428,0.45999999999999996
6057,0.5
22222,0.5
11230,0.5
19887,0.51
21046,0.52
1838,0.5299999999999999
4545,0.54
4861,0.54
4544,0.54
14428,0.54
22305,0.56
31900,0.56
847,0.57
9296,0.5800000000000001
21096,0.5800000000000001
4398,0.6
4687,0.62
5819,0.6599999999999999
1839,0.66
2929,0.66
1679,0.69
21086,0.7
31968,0.7100000000000001
31912,0.7200000000000001
20973,0.74
19369,0.74
4546,0.74
14565,0.74
19603,0.77
19563,0.7799999999999999
2430,0.8
22879,0.81
24310,0.81
19381,0.82
1234,0.82
22223,0.8200000000000001
3001,0.8200000000000001
4400,0.84
22280,0.8400000000000001
20180,0.86
25683,0.8600000000000001
22276,0.8600000000000001
9300,0.8700000000000001
21095,0.8999999999999999
11228,0.9199999999999999
21094,0.9400000000000001
22297,0.96
25686,0.98
6687,1.0
23311,1.0
21054,1.02
22294,1.02
23336,1.05
19794,1.09
1831,1.1099999999999999
22296,1.11
6954,1.12
9285,1.13
22884,1.17
5601,1.18
20064,1.1800000000000002
9990,1.2000000000000002
9309,1.29
21090,1.32
15117,1.32
14564,1.32
9506,1.34
150,1.36
22277,1.4200000000000002
3854,1.4299999999999997
6960,1.58
1724,1.6600000000000001
31969,1.6600000000000001
15559,1.6799999999999997
9288,1.74
9293,1.7400000000000002
6962,1.7499999999999998
10182,1.79
22128,1.8399999999999999
26310,1.84
6258,1.8599999999999999
4825,1.8599999999999999
6261,1.8599999999999999
6433,1.8599999999999999
10629,1.88
32040,1.8800000000000001
6959,1.92
4824,1.92
22322,1.9300000000000002
12771,1.9400000000000002
17817,1.98
9959,1.9900000000000002
12752,2.1300000000000003
5822,2.18
6949,2.28
5818,2.3
12770,2.31
12764,2.35
22281,2.37
12773,2.39
1601,2.4
19151,2.4
6058,2.42
22886,2.43
20067,2.4400000000000004
6710,2.54
12775,2.62
1892,2.7
12776,2.72
19206,2.73
24321,2.76
6865,2.7800000000000002
5528,2.84
9292,2.95
9977,3.02
30051,3.0599999999999996
3851,3.0599999999999996
3256,3.08
30046,3.0999999999999996
23786,3.14
22125,3.14
19658,3.18
19181,3.2099999999999995
31417,3.5200000000000005
24319,3.7199999999999993
31416,4.17
24320,4.44
30055,4.6
30053,4.68
10626,4.73
6432,4.9799999999999995
7045,5.1499999999999995
21092,5.29
22327,5.43
12259,5.53
9290,5.680000000000001
9291,5.789999999999999
6966,5.84
2889,5.8500000000000005
2888,5.89
9289,6.09
19791,6.160000000000001
2930,6.26
2931,6.26
22341,6.3100000000000005
19207,6.630000000000001
22865,6.86
22857,6.86
19790,6.86
22887,6.86
2887,6.88
1218,6.88
2886,6.88
1219,6.88
1378,6.88
1379,6.96
1380,7.000000000000001
1216,7.000000000000001
22863,7.090000000000001
22339,7.12
